employee_id,age,years_experience,monthly_salary,performance_score,hours_worked_per_week,num_projects,training_hours,satisfaction_score,department,education_level,city,left_company
1001,50.0,29.0,92572.87019452086,4.006449691018923,49.187160135216125,14.0,75.0,1.6570817978237122,Finance,Bachelor,Hyderabad,0
1002,36.0,28.0,90243.96801584422,7.594291455312524,42.395301142775025,4.0,112.0,3.014877738359825,Sales,Master,Delhi,1
1003,29.0,28.0,74402.190521954,4.640746470164827,42.499870714594636,4.0,99.0,4.320811537383048,Finance,PhD,Hyderabad,1
1004,42.0,29.0,,1.6151788027896274,49.880185358275604,4.0,65.0,3.656048912270409,Sales,Master,Mumbai,0
1005,40.0,15.0,67168.70387340391,8.053838582356965,41.246869079367215,4.0,10.0,2.3534714637008634,Marketing,High School,Hyderabad,0
1006,44.0,18.0,74696.13742460021,3.571824921334354,33.57481203643922,3.0,102.0,4.742092091035429,Marketing,High School,Chennai,0
1007,32.0,17.0,92262.00452341262,,51.09044450727562,13.0,97.0,4.648830284996729,HR,PhD,Pune,0
1008,32.0,0.0,59071.19637880841,,35.832795280141376,12.0,89.0,1.837393597536395,Sales,Bachelor,Pune,0
1009,45.0,13.0,77176.9126041824,3.992105414338408,49.13213827518328,7.0,17.0,1.157670340481452,Operations,Bachelor,Bangalore,1
1010,57.0,1.0,52627.37143602385,1.5092709053204407,52.783972362664,9.0,84.0,3.965234833403049,Marketing,Bachelor,Hyderabad,1
1011,45.0,27.0,55117.87533915615,,41.996048909182264,12.0,99.0,,Finance,Master,Pune,0
1012,24.0,29.0,74381.22005688751,9.50003724424873,54.45882275273427,5.0,103.0,4.871458263805421,Engineering,Master,Hyderabad,0
1013,43.0,3.0,35796.83983412336,,48.854269662890275,4.0,51.0,4.559345576353243,Engineering,PhD,Pune,0
1014,23.0,0.0,116211.17233232103,,39.433108638841794,11.0,45.0,3.4021390728256593,Sales,High School,Hyderabad,0
1015,45.0,7.0,51138.80090179527,6.690539382738758,56.2114320181286,2.0,43.0,3.1202093568495233,Operations,Bachelor,Chennai,0
1016,51.0,28.0,74198.22974686894,2.7909292506349312,35.86662542608488,2.0,21.0,1.1113642050503452,HR,High School,Hyderabad,1
1017,59.0,2.0,98364.3544363373,4.765004776920521,41.986396560771475,5.0,52.0,1.9866257873791113,Finance,Master,Chennai,1
